,date,item,category,avg_daily_amount_usd,avg_usdkrw,avg_daily_amount_krw
252,2021-03-10,선박,수출,75373428.57142857,1129.36375,85124017941.7857
253,2021-04-10,선박,수출,46422285.71428572,1122.3642857142856,52102715546.938774
254,2021-05-10,선박,수출,68542000.0,1119.8366666666668,76755844806.66667
255,2021-06-10,선박,수출,68492750.0,1112.8187500000001,76220016439.06252
256,2021-07-10,선박,수출,38253428.571428575,1137.6928571428573,43520652446.93878
257,2021-08-10,선박,수출,5551571.428571428,1147.2128571428573,6368834120.204082
258,2021-09-10,선박,수출,50253375.0,1161.65375,58377021518.90625
259,2021-10-10,선박,수출,47991500.0,1188.1383333333333,57020540824.166664
260,2021-11-10,선박,수출,29009000.0,1180.72375,34251615263.750004
261,2021-12-10,선박,수출,58366000.0,1178.1425000000002,68763465155.00002
262,2022-01-10,선박,수출,53388666.666666664,1198.2183333333332,63971279192.22221
263,2022-02-10,선박,수출,57241875.0,1198.3237499999998,68594298307.031235
264,2022-03-10,선박,수출,31548625.0,1218.6375,38446337498.4375
265,2022-04-10,선박,수출,43465833.333333336,1220.1533333333334,53034981427.77779
266,2022-05-10,선박,수출,56553285.71428572,1267.0457142857142,71655598293.06122
267,2022-06-10,선박,수출,48529125.0,1255.84625,60945119647.03125
268,2022-07-10,선박,수출,63263833.333333336,1300.0966666666666,82249098837.22221
269,2022-08-10,선박,수출,9510375.0,1304.2737499999998,12404132465.156248
270,2022-09-10,선박,수출,20379857.14285714,1372.1228571428571,27963667811.020405
271,2022-10-10,선박,수출,84691666.66666667,1420.9116666666669,120339377236.11113
272,2022-11-10,선박,수출,48037750.0,1393.07375,66920128534.0625
273,2022-12-10,선박,수출,70269571.42857143,1308.782857142857,91967610464.48979
274,2023-01-10,선박,수출,50539142.85714286,1260.992857142857,63729498148.97958
275,2023-02-10,선박,수출,59474500.0,1250.3500000000001,74363941075.00002
276,2023-03-10,선박,수출,22273000.0,1311.17375,29203772933.75
277,2023-04-10,선박,수출,105232666.66666667,1315.1883333333333,138400775485.55554
278,2023-05-10,선박,수출,25059875.0,1328.0525,33280829643.4375
279,2023-06-10,선박,수출,177345000.0,1301.3685714285716,230791209300.00003
280,2023-07-10,선박,수출,110040666.66666667,1301.425,143209674616.66666
281,2023-08-10,선박,수출,26898500.0,1305.6275,35119421308.75
282,2023-09-10,선박,수출,36657666.666666664,1327.6333333333334,48667940188.88889
283,2023-10-10,선박,수출,35313714.28571428,1349.53,47656916839.99999
284,2023-11-10,선박,수출,15785000.0,1316.70625,20784208156.25
285,2023-12-10,선박,수출,197812666.66666666,1310.3816666666667,259210091834.44443
286,2019-08-31,선박,수출,83826904.76190476,1209.61375,101398176619.94048
287,2023-12-20,선박,수출,176203071.42857143,1302.1512500000001,229443049714.5536
288,2023-12-31,선박,수출,176835300.0,1293.9914285714283,228823362468.8571
289,2024-01-10,선박,수출,142955000.0,1311.5475,187492272862.5
290,2024-01-20,선박,수출,137685500.0,1328.7242857142858,182946067640.7143
291,2024-01-31,선박,수출,111660045.45454545,1334.60875,149022473689.0341
292,2024-02-10,선박,수출,43760000.0,1330.9085714285716,58240559085.714294
293,2024-02-20,선박,수출,78463000.0,1332.3785714285716,104542419850.00002
294,2024-02-29,선박,수출,89935238.09523809,1331.8600000000001,119781146209.52382
295,2024-03-10,선박,수출,165700400.0,1327.4883333333335,219965347828.6667
296,2024-03-20,선박,수출,97879846.15384616,1324.1125000000002,129603927790.38464
297,2024-03-31,선박,수출,102175300.0,1343.3742857142859,137259670655.14287
298,2024-04-10,선박,수출,11663428.57142857,1352.47,15774437240.0
299,2024-04-20,선박,수출,79429857.14285715,1379.382857142857,109564183288.16325
300,2024-04-30,선박,수출,75897285.71428572,1376.6714285714286,104485624748.9796
301,2024-05-10,선박,수출,73571375.0,1363.9325,100346389432.18748
302,2024-05-20,선박,수출,84392285.71428572,1357.3466666666666,114549587706.66666
303,2024-05-31,선박,수출,85531043.47826086,1367.7611111111112,116986035062.31883
304,2024-06-10,선박,수출,128406000.0,1371.3133333333335,176084859880.00003
305,2024-06-20,선박,수출,82630615.38461539,1379.31625,113973750547.50002
306,2024-06-30,선박,수출,74970473.68421052,1387.3,104006538142.10526
307,2024-07-10,선박,수출,47326500.0,1382.6399999999999,65435511959.99999
308,2024-07-20,선박,수출,37707071.428571425,1380.4785714285713,52053804098.469376
309,2024-07-31,선박,수출,45158590.909090914,1381.51875,62387440064.48864
310,2024-08-10,선박,수출,89710857.14285715,1368.3885714285716,122759311647.34697
311,2024-08-20,선박,수출,137371461.53846154,1351.2571428571428,185624168628.5714
312,2024-08-31,선박,수출,131303619.04761906,1332.06375,174904791177.14288
313,2024-09-10,선박,수출,85002285.71428572,1337.8971428571426,113724315193.46938
314,2024-09-20,선박,수출,87087750.0,1327.425,115602456543.75
315,2024-09-30,선박,수출,125072055.55555557,1321.7283333333335,165311279536.01855
316,2024-10-10,선박,수출,180432200.0,1338.31125,241474443122.25
317,2024-10-20,선박,수출,123173545.45454545,1361.7050000000002,167726032713.18182
318,2024-10-31,선박,수출,98018350.0,1379.9888888888888,135264233907.22221
319,2024-11-10,선박,수출,99742333.33333333,1384.0733333333335,138050703771.1111
320,2024-11-20,선박,수출,80332785.71428572,1398.5300000000002,112347810805.00002
321,2024-11-30,선박,수출,116022476.19047618,1396.1185714285714,161981133712.65305
322,2024-12-10,선박,수출,154494285.7142857,1418.5257142857142,219154116995.91833
323,2024-12-20,선박,수출,124154733.33333334,1438.5625,178604343570.83334
324,2024-12-31,선박,수출,141574380.95238096,1464.6200000000001,207352669830.4762
325,2025-01-10,선박,수출,164264000.0,1464.76,240607336640.0
326,2025-01-20,선박,수출,123694461.53846154,1454.2549999999999,179883289164.61536
